Step,Node_Index,R,G,B,diffR,diffG,diffB
300,59,209.373,54.356,68.805,-19.449,5.289,30.756
300,60,62.527,173.159,136.116,16.991,-11.524,-11.139
300,61,70.203,184.492,148.188,4.389,-14.93,-13.14
300,62,80.472,199.223,155.583,-2.034,-27.736,-13.499
300,63,86.117,192.767,154.504,17.042,-24.995,-3.634
300,64,83.596,180.516,152.552,23.329,-16.834,14.309
300,65,111.325,149.176,149.152,5.724,-8.119,9.768
300,66,129.4,115.956,143.287,11.525,-3.72,-0.176
300,67,184.591,73.802,105.193,-34.907,18.796,33.724
300,68,192.154,55.976,96.761,-21.981,7.243,22.328
300,69,200.517,42.086,88.311,-21.438,15.209,18.557
300,70,47.36,161.467,123.918,12.025,-13.984,-13.896
300,71,47.334,174.42,132.692,11.746,-17.733,-12.644
300,72,48.591,175.485,135.741,10.528,-18.119,-3.541
300,73,51.642,180.351,133.839,6.464,-29.335,1.817
300,74,58.121,156.207,158.583,18.872,-4.951,-0.009
300,75,62.904,146.876,161.786,23.906,-6.336,0.001
300,76,96.658,107.866,159.37,23.423,1.63,4.056
300,77,141.185,62.602,145.499,-5.372,28.075,0.025
300,78,167.67,43.643,126.989,-12.094,22.123,11.202
300,79,188.202,33.554,110.861,-30.719,3.721,16.37
300,80,29.018,136.73,97.025,14.107,-12.843,-12.041
300,81,28.679,151.732,111.487,12.601,-22.992,-11.922
300,82,32.788,161.654,120.743,8.95,-27.563,-5.353
300,83,40.597,153.825,129.966,4.76,-20.755,-9.264
300,84,47.27,153.828,152.103,8.568,-12.389,0.224
300,85,56.793,135.727,170.224,20.106,-13.311,6.005
300,86,83.262,105.219,177.346,7.25,3.143,-4.059
300,87,121.621,64.365,175.9,-3.444,16.002,-2.718
300,88,144.093,38.238,169.611,-10.116,17.114,-6.143
300,89,172.147,30.797,137.273,-19.092,8.685,4.421
300,90,32.046,77.051,83.81,11.036,4.383,-4.948
300,91,26.53,134.424,105.859,16.526,-21.186,-5.856
300,92,29.188,146.057,118.272,9.094,-26.547,-6.4
300,93,32.841,137.919,136.773,14.117,-17.819,-14.831
300,94,48.013,135.243,165.049,8.765,-19.357,-2.06
300,95,62.1,125.537,180.07,19.328,-9.331,8.358
300,96,83.667,89.146,192.434,-3.561,16.033,-9.562
300,97,107.753,66.443,195.297,1.188,17.926,-6.902
300,98,136.213,44.996,184.284,3.745,17.523,1.237
300,99,148.813,31.437,184.766,-2.694,13.745,1.655
400,0,246.51,244.807,235.707,-0.51,1.868,-1.193
400,1,244.052,238.302,231.403,-1.307,0.206,-5.595
400,2,245.373,230.013,215.973,-4.884,4.568,5.543
400,3,242.384,218.508,200.673,-4.168,7.825,10.831
400,4,240.682,207.865,184.893,-4.21,-4.484,-2.149
400,5,234.038,194.483,149.969,-8.564,-5.936,-23.721
400,6,226.375,199.009,122.801,-10.358,-6.397,-32.866
400,7,205.943,197.557,80.527,5.935,-3.545,-4.354
400,8,190.939,197.453,34.321,6.768,-0.856,1.558
400,9,189.359,197.92,22.038,5.744,3.245,2.49
400,10,238.739,241.118,234.506,-8.026,0.834,-1.13
400,11,233.661,233.605,231.512,-3.152,2.435,-3.698
400,12,236.59,226.243,217.924,-5.742,3.552,0.781
400,13,232.406,208.84,202.157,-0.861,11.961,4.238
400,14,232.122,192.383,183.452,-4.153,-9.726,-12.037
400,15,231.811,184.321,162.196,-5.237,-1.98,-29.026
400,16,226.737,185.471,128.913,-12.269,-3.343,-34.927
400,17,208.763,177.606,76.787,1.68,2.634,-3.128
400,18,203.235,175.149,55.07,3.724,0.275,0.179
400,19,193.531,181.196,26.82,6.486,0.506,4.915
400,20,221.75,233.216,235.089,-1.387,5.036,-4.346
400,21,222.63,230.152,232.195,-2.508,4.017,-2.228
400,22,222.521,215.126,221.303,-0.499,14.654,0.373
400,23,224.943,197.688,202.601,-7.531,-2.857,-16.019
400,24,223.332,183.98,181.608,-1.706,-6.682,-14.414
400,25,229.682,174.5,166.986,-3.098,-2.142,-7.19
400,26,220.666,163.773,134.437,-2.872,6.171,-32.645
400,27,208.479,149.708,78.646,4.018,14.449,-7.653
400,28,203.113,153.25,53.25,7.257,11.208,3.893
400,29,200.438,141.65,36.78,9.993,6.648,9.853
400,30,192.509,226.073,231.693,15.774,8.38,-2.137
400,31,192.777,218.255,228.177,11.044,12.783,-1.493
400,32,188.092,206.479,223.76,-3.583,7.861,-6.294
400,33,200.174,180.717,201.856,-2.068,3.396,-19.869
400,34,209.419,173.436,188.587,-1.003,-0.07,-19.924
400,35,217.577,156.306,161.77,-4.86,4.483,-13.123
400,36,208.952,132.725,124.265,10.483,-1.067,-8.465
400,37,212.026,125.764,79.331,6.806,2.502,-8.706
400,38,210.929,113.477,51.687,0.459,15.907,5.262
400,39,210.062,106.855,39.282,3.828,20.576,9.798
400,40,161.177,217.426,221.004,-7.644,-0.879,-13.869
400,41,168.968,212.276,221.283,-14.949,2.659,-12.553
400,42,159.201,204.025,211.709,-33.152,7.368,-19.983
400,43,176.672,180.87,197.678,-29.004,3.585,-24.259
400,44,172.508,167.114,186.635,-18.285,7.662,-22.25
400,45,193.265,144.445,160.931,-1.709,3.958,-9.603
400,46,193.62,125.773,125.572,12.106,-1.793,-11.588
400,47,201.648,98.532,86.199,11.246,-3.814,-2.77
400,48,203.757,83.716,56.583,15.007,1.863,12.631
400,49,212.095,76.408,50.354,5.712,3.872,12.619
400,50,114.345,203.349,180.789,4.63,-5.809,-1.876
400,51,112.12,208.804,179.159,-9.35,1.128,-9.846
400,52,111.431,206.979,186.217,-6.783,-4.676,-11.883
400,53,133.887,187.665,187.496,-27.721,8.283,-14.509
400,54,141.507,168.029,171.918,-11.883,8.661,-10.268
400,55,152.118,147.394,156.187,-12.587,10.025,-12.202
400,56,173.401,104.234,110.254,20.201,-4.403,-11.089
400,57,183.936,81.658,90.036,20.385,3.678,-1.995
400,58,191.835,68.11,75.524,18.762,6.028,4.821
